28534	6319	2050	466
28556	787	2050	466
28665	4954	2050	466
28666	2554	2050	466
28683	6964	2050	466
28711	681	2050	466
28808	6222	2050	466
28875	2976	7738	466
28877	5530	7738	466
28878	5072	7738	466
28879	2088	7738	466
28905	6609	2050	466
29006	974	2050	466
29032	974	2050	466
29119	7057	2050	466
29146	4048	2050	466
29157	5732	2050	466
29327	7243	2050	466
30446	902	7738	466
30489	426	7738	466
30497	5672	2050	466
30500	7060	2050	466
30527	7544	7738	466
30528	7407	7738	466
30655	993	2050	466
30924	787	2050	466
31037	6319	2050	466
31070	6964	2050	466
31077	2554	2050	466
31088	3920	7738	466
31089	7240	2050	466
31105	681	2050	466
31210	6222	2050	466
31268	6609	2050	466
31388	974	2050	466
31468	7057	2050	466
31494	5732	2050	466
31516	918	7738	466
31718	6222	7738	466
31819	7060	2050	466
31827	5672	2050	466
31903	6354	7738	466
31984	993	2050	466
32277	787	2050	466
32297	6964	2050	466
32306	2554	2050	466
32337	6319	2050	466
32344	681	2050	466
32381	6222	2050	466
32717	681	2050	466
32750	2554	2050	466
32767	7060	2050	466
32775	974	2050	466
32859	787	2050	466
32916	6222	2050	466
33008	6964	2050	466
33040	681	2050	466
33050	6964	2050	466
33136	974	2050	466
33180	787	2050	466
33224	787	7738	466
33380	5732	2050	466
33383	6319	2050	466
33385	2554	2050	466
33825	2554	2050	466
33905	681	2050	466
34190	787	2050	466
34498	974	2050	466
34650	6964	2050	466
34652	6319	2050	466
34809	5732	2050	466
